Secteur	Catégorie	Activité
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de trotinnettes et trotinnettes électriques sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'électroménagers sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Autre - Commerce de gros
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Maître d'oeuvre
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Assistant maître d'oeuvre
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Maître d'ouvrage
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Assistant maître d'ouvrage
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Tous corps d'états
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Chauffagiste, installation thermique de génie climatique (à l'exclusion du photovoltaïque)
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Air conditionné, intallation d'aérauliques (hors photovoltaïque)
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Isolation
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Couvreur
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Ravalement de façades
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Charpentes
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Menuiseries extérieures
Artisan / Commerçant / e-Commerçant	Construction / Batiment et travaux publics	Menuiseries intérieures
Professions réglementées	Assurance	Agence de courtage en prêt / rachat en crédit (hors agence/établissement bancaire)
Professions réglementées	Assurance	Intermédiaire en Assurance
Professions réglementées	Assurance	Autre - Assurance
Professions réglementées	Tourisme	Agence de voyages / Tour opérateur
Professions réglementées	Tourisme	Autre - Tourisme
Professions réglementées	Professions de l'immobilier	Agent immobilier (transaction immobilière et/ou de gestion locative)
Professions réglementées	Professions de l'immobilier	Agent commercial de l'Immobilier
Professions réglementées	Professions de l'immobilier	Autre - Professions de l'immobilier
Professions réglementées	Professionnel du sport	Agent Sportif
Professions réglementées	Professionnel du sport	Autre - Professionnel du sport
Professions réglementées	Service financier	Conseil en investissement Financier (CIF) y compris le Conseil en gestion de Patrimoine (CGP)
Professions réglementées	Service financier	Démarcheur Financier
Professions réglementées	Service financier	Intermédiaire en Opérations de Banque et en services de paiement
Professions réglementées	Professions du droit	Avocat
Professions réglementées	Professions du droit	Notaire
Professions réglementées	Professions du droit	Huissier de justice
Professions réglementées	Professions de la santé	Médecin généraliste
Professions réglementées	Professions de la santé	Chirurgien
Professions réglementées	Professions de la santé	Vétérinaire
Professions réglementées	Professions de la santé	Dentiste
Sécurité	Professionnel de la sécurité	Gardiennage, surveillance, filtrage (y compris agent cynophile) - hors télésurveillance
Sécurité	Professionnel de la sécurité	Intervention sur site en cas de déclenchement d’alarme intrusion
Sécurité	Professionnel de la sécurité	Sécurité incendie : agent de sécurité qualifié / confirmé / chef de poste
Sécurité	Professionnel de la sécurité	Installateurs d’alarmes sociales
Sécurité	Professionnel de la sécurité	Vente et installation de détecteurs d’incendie, fumée, gaz et de systèmes légers de lutte contre l’incendie ou intoxication de type Extincteurs et RIA (Robinets d’Incendie Armé)
Sécurité	Professionnel de la sécurité	Formation aux activités privées de sécurité soumises à agrément CNAPS
Sécurité	Professionnel de la sécurité	Activités annexes de conseil et formation en matière de sécurité - hors prescription technique assimilée à de l'ingénierie/BET/maîtrise d'œuvre & AMOA sur travaux de bâtiment & génie civil
Sécurité	Professionnel de la sécurité	Vente, installation et maintenance de systèmes de détection et d’alarme anti-intrusion, de systèmes et matériels de contrôle d’accès, vidéo-surveillance, télésurveillance
Sécurité	Professionnel de la sécurité	Télésurveillance
Tourisme	Professionnel du tourisme	Billetterie
Tourisme	Professionnel du tourisme	Vente de séjours ou voyages organisés par un Tour-Operator
Tourisme	Professionnel du tourisme	Tourisme d'accueil
Tourisme	Professionnel du tourisme	Vente de forfaits dynamiques
Tourisme	Professionnel du tourisme	Organisation de séjours ou de voyages
Marketing	Communication corporate et publicitaire	Publicité
Marketing	Communication corporate et publicitaire	Communication institutionnelle, financière
Marketing	Communication corporate et publicitaire	Social media, community management
Marketing	Communication corporate et publicitaire	Relations publiques, Gestion réputation / e-réputation
Marketing	Communication corporate et publicitaire	Influenceur, lobbying
Marketing	Communication corporate et publicitaire	Communication et gestion de crise
Marketing	Communication corporate et publicitaire	Réalisation, production de films institutionnels et/ou publicitaires
Marketing	Communication corporate et publicitaire	Conception et création de contenu éditorial tous supports (dont content management)
Marketing	Communication corporate et publicitaire	Impression supports publicitaire ou corporate
Marketing	Communication corporate et publicitaire	Régie publicitaire
Marketing	Communication corporate et publicitaire	Achat d'espaces publicitaires dans médias traditionnels et nouveaux médias (dont display)
Marketing	Communication corporate et publicitaire	Media planning, web planning
Marketing	Communication corporate et publicitaire	Direction artistique, conception et création graphique 360°
Marketing	Communication corporate et publicitaire	Conception, création de sites web et applications mobiles (design UX/UI, développement)
Marketing	Communication corporate et publicitaire	Communication interne/RH, marque employeur
Marketing	Connaissance client analytics	CRM analytics, base de données client
Marketing	Connaissance client analytics	Analyse comportementale
Marketing	Connaissance client analytics	Datamining, datascience
Marketing	Connaissance client analytics	Etude de marché, sondages
Marketing	Connaissance client analytics	Tracking, performance, metrics
Marketing	Connaissance client analytics	Traffic Management
Marketing	Connaissance client analytics	Veille, benchmark, social listening
Marketing	Conseil et stratégie	Conseil en publicité
Marketing	Conseil et stratégie	Conseil en stratégie digitale
Marketing	Conseil et stratégie	Conseil en marketing
Marketing	Conseil et stratégie	Coaching, media training
Marketing	Conseil et stratégie	Conseil en branding (notoriété et image de marque)
Marketing	Conseil et stratégie	Conseil en communication, RP, social média
Marketing	Conseil et stratégie	Planning stratégique
Marketing	Conseil et stratégie	Autres services : Informatique et Conseil (en stratégie, organisation, RSE...) dans la limite de 30% du chiffre d’affaires déclaré par l’assuré
Marketing	Événementiel pour le compte de tiers	Conception et organisation d'événements
Marketing	Événementiel pour le compte de tiers	Scénographie
Marketing	Événementiel pour le compte de tiers	Autre - Événementiel pour le compte de tiers
Marketing	Marketing opérationnel	Marketing direct (phoning, (e)mailing, jeux concours, street marketing,...)
Marketing	Marketing opérationnel	Génération de leads
Marketing	Marketing opérationnel	Affiliation
Marketing	Marketing opérationnel	Search marketing, référencement (SEO, SEA, SMO)
Marketing	Marketing opérationnel	m-Marketing (dont campagnes SMS)
Marketing	Marketing opérationnel	Conception de goodies, enseignes ou produits dérivés (fabrication et installation sous-traitées)
Marketing	Marketing opérationnel	Promotion et animation des ventes
Marketing	Marketing opérationnel	Monétisation de contenu
Marketing	Marketing opérationnel	Reciblage publicitaire (re-targeting)
Marketing	Marketing opérationnel	Impression publipostage
Marketing	Marketing opérationnel	Packaging (hors design industriel)
Marketing	Marketing opérationnel	Merchandising, publicité sur lieu de vente
Métiers du Service	Transport	Transport terrestre
Métiers du Service	Transport	Aide à la mobilité et transports
Métiers du Service	Transport	Conduite de véhicule personnel des seniors et des personnes handicapées
Métiers du Service	Transport	Convoyage de véhicules légers
Métiers du Service	Accompagnement personnel / Thérapie	Coach en développement personnel / Conseil en gestion de stress
Métiers du Service	Accompagnement personnel / Thérapie	Conseil en orientation / aide psychosociale
Métiers du Service	Accompagnement personnel / Thérapie	Conseiller conjugal
Métiers du Service	Accompagnement personnel / Thérapie	Médiation familiale (hors médiation judiciaire / pénale)
Métiers du Service	Accompagnement personnel / Thérapie	Luminothérapeute / Aromathérapeute / Musicothérapeute
Métiers du Service	Accompagnement personnel / Thérapie	Psychologue
Métiers du Service	Accompagnement personnel / Thérapie	Psychothérapeute
Métiers du Service	Accompagnement personnel / Thérapie	Thérapeute par la parole
Métiers du Service	Accompagnement personnel / Thérapie	Hypnothérapeute
Métiers du Service	Accompagnement personnel / Thérapie	Autre - Accompagnement personnel / Thérapie
Métiers du Service	Service à la personne - Loi Borloo	Accompagnement des personnes agées, dépendantes, handicapées en dehors du domicile 
Métiers du Service	Service à la personne - Loi Borloo	Aide personnelle à domicile pour les personnes en besoin d'assistance temporaire - hors soins médicaux
Métiers du Service	Service à la personne - Loi Borloo	Aide à l’insertion sociale des personnes agées, handicapées ou ayant des pathologies chroniques 
Métiers du Service	Service à la personne - Loi Borloo	Assistance dans les actes de la vie quotidienne des personnes âgées, handicapées ou ayant des pathologies chroniques - hors soins médicaux
Métiers du Service	Service à la personne - Loi Borloo	Assistance administrative à domicile
Métiers du Service	Service à la personne - Loi Borloo	Assistance informatique à domicile
Métiers du Service	Service à la personne - Loi Borloo	Accompagnement des enfants de moins de 3 ans dans leur déplacement en dehors du domicile
Métiers du Service	Service à la personne - Loi Borloo	Accompagnement des enfants de plus de 3 ans dans leur déplacement en dehors du domicile
Métiers du Service	Service à la personne - Loi Borloo	Garde d'enfants de moins de 3 ans à domicile
Métiers du Service	Service à la personne - Loi Borloo	Garde d'enfants de plus de 3 ans à domicile
Métiers du Service	Service à la personne - Loi Borloo	Collecte et livraison de linge à domicile
Métiers du Service	Service à la personne - Loi Borloo	Conduite du véhicule personnel des seniors et personnes handicapées
Métiers du Service	Service à la personne - Loi Borloo	Coordination, délivrance et suivi de services à la personnes (mise en relation avec un prestataire et suivi de la prestation)
Métiers du Service	Service à la personne - Loi Borloo	Interprète langue des signes, technicien de l’écrit, codeur en langue parlé complété
Métiers du Service	Service à la personne - Loi Borloo	Soins esthétiques à domicile pour les personnes dépendantes
Métiers du Service	Service à la personne - Loi Borloo	Soins et promenades d’animaux de compagnie pour les personnes dépendantes
Métiers du Service	Service à la personne - Loi Borloo	Soutien scolaire ou cours à domicile
Métiers du Service	Service à la personne - Loi Borloo	Téléassistance / Visioassistance
Métiers du Service	Service à la personne - Loi Borloo	Aide à l’insertion sociale des personnes agées, handicapées ou ayant des pathologies chroniques 
Métiers du Service	Service à la personne - Loi Borloo	Entretien de la maison et travaux ménagers
Métiers du Service	Service à la personne - Loi Borloo	Maintenance, entretien et vigilance temporaires, à domicile, de résidences principales et secondaires
Métiers du Service	Service à la personne - Loi Borloo	Travaux de petit bricolage dits « homme toutes mains »
Métiers du Service	Service à la personne - Loi Borloo	Petits travaux de jardinage
Métiers du Service	Service à la personne - Loi Borloo	Préparation de repas à domicile
Métiers du Service	Service à la personne - Loi Borloo	Livraison de courses à domicile
Métiers du Service	Service à la personne - Loi Borloo	Livraison de repas à domicile
Métiers du Service	Service à la personne - Loi Borloo	Archivage (photocopie, préparation de documents, scanning, saisie informatique, archivage de documents et gestion documentaire pour le compte de tiers)
Métiers du Service	Gestion administrative	Conciergerie / Services de conciergerie (hors réservation de séjours / voyages pour le compte de tiers)
Métiers du Service	Gestion administrative	Ecrivain public
Métiers du Service	Gestion administrative	Gestion de standard (Accueil, permanence téléphonique, gestion du courrier, démarches administratives, classements de documents etc...)
Métiers du Service	Gestion administrative	Gestion des achats (Recherche et gestion des fournisseurs) 
Métiers du Service	Gestion administrative	Interprète
Métiers du Service	Gestion administrative	Mise à disposition d'agents et hôtesses d'accueil - hors prestation de sécurité privée
Métiers du Service	Gestion administrative	Mise à disposition de bureaux/espaces de travail courte et moyenne durée 
Métiers du Service	Gestion administrative	Recouvrement amiable et judiciaire de créance pour le compte de tiers
Métiers du Service	Gestion administrative	Centre d'affaires (Secrétariat, saisie de données, domiciliation commerciale de sociétés ; gestion du courrier arrivant à l'adresse de domiciliation ; externalisation de tâches administratives, permanence téléphonique)
Métiers du Service	Gestion administrative	Centre d'appel hors appels d’urgence 
Métiers du Service	Gestion administrative	Téléprospection
Métiers du Service	Gestion administrative	Traducteur (hors notices techniques et manuels utilisateurs)
Métiers du Service	Garde d'enfants et animaux	Crèche
Métiers du Service	Garde d'enfants et animaux	Garde d'animaux et Pet-sitting (hors chenils)
Métiers du Service	Garde d'enfants et animaux	Autre - Garde d'enfants
Métiers du Service	Entretien / Nettoyage	Nettoyage courant de bureaux, commerces, habitations et établissements sportifs
Métiers du Service	Entretien / Nettoyage	Entretien des bureaux et/ou espaces verts (sans technique d'élagage de plus de 3 mètres)
Métiers du Service	Entretien / Nettoyage	Jardinage hors élagage/abattage d’arbres et/ou travaux de terrassement
Métiers du Service	Formation	Conseiller en éducation / Éducateur
Métiers du Service	Formation	Correcteur de textes / examens
Métiers du Service	Formation	Formateur / Organisme de formation (hors formation aux activités privées de sécurité soumises à agrément du CNAPS et formation aux travaux en hauteur / sur corde)
Métiers du Service	Formation	Établissement d'enseignement supérieur / de formation continue (hors formation aux activités privées de sécurité soumises à agrément du CNAPS et formation aux travaux en hauteur / sur corde)
Métiers du Service	Formation	Enseignant (hors enseignant de l’éducation nationale)
Métiers du Service	Formation	Formateur / Organisme de formation / Soutien scolaire (locaux avec salles de formation - hors formation aux activités privées de sécurité soumises aux agrément du CNAPS et formation aux travaux en hauteur / sur corde)
Métiers du Service	Formation	Comportementalisme chien et chat / Formation au dressage et à la communication avec l'animal
Métiers du Service	Formation	Autre - Formation - Service à la personne
Métiers du Service	Dépannage / Assistance	Téléassistance / Visioassistance
Métiers du Service	Dépannage / Assistance	Bricolage ne nécessitant pas de qualification professionnelle et pouvant être réalisé en 2h maximum (hors travaux de construction, réparation, intervention sur des équipements de gaz, d'eau, d'électricité)
Métiers du Service	Dépannage / Assistance	Installation d'alarmes et/ou de matériel de télé-sécurité et télésurveillance
Métiers du Service	Dépannage / Assistance	Maintenance, entretien et vigilance temporaires, à domicile, de résidence principale et secondaire
Métiers du Service	Dépannage / Assistance	Installation, maintenance de matériel informatique / de télécommunication - Assistance information / télécommunication
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Gardien de maisons / Home sitting
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Agence matrimoniale
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Assistant social
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Agent commercial immobilier (TRANSACTIONS SUR IMMEUBLES ET / OU FONDS DE COMMERCE)
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Assistance à l’autonomie, aux personnes âgées, handicapées ou vulnérables - hors prestations réalisées dans le cadre de la loi Borloo et/ou hors prestation médicale/paramédicale
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Décorateur d'intérieur (hors architecte et domaine de la construction)
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Services aux particuliers hors règlementation Borloo : courses, travaux administratifs
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Conseil en relocation
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Réalisation d'audits de certifications portant sur les méthodes d'organisation et de process des entreprises
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Détective privé / Agent de recherches privé
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Photographe
Métiers du Service	Autres services aux particuliers, entreprise et collectivités	Conseil en immigration - hors conseils juridiques
Métiers du Service	Livraison	Coursier
Métiers du Service	Livraison	Autre - Livraison
Métiers du Service	Restauration	Préparation de repas / commissions
Métiers du Service	Restauration	Restaurant
Métiers du Service	Restauration	Restauration rapide
Métiers du Service	Restauration	Café, brasserie
Métiers du Service	Restauration	Autre - Restauration
Médias et Industries culturelles	Evénementiel	Scénographie - Evénementiel
Médias et Industries culturelles	Evénementiel	Conférencier
Médias et Industries culturelles	Evénementiel	Organisation de mariages et d'événements familiaux / Wedding planner - hors activités de réservation de voyages ou séjours pour le compte de tiers
Médias et Industries culturelles	Evénementiel	Animateur d'évènements ou d'actions promotionnelles / Speaker
Médias et Industries culturelles	Audiovisuel	Adaptateur audiovisuel
Médias et Industries culturelles	Audiovisuel	Studio et autres activités photographiques - Audiovisuel
Médias et Industries culturelles	Audiovisuel	Assistant opérateur audiovisuel / cinéma / spectacles vivants
Médias et Industries culturelles	Audiovisuel	Cadreur
Médias et Industries culturelles	Audiovisuel	Caméraman
Médias et Industries culturelles	Audiovisuel	Chorégraphe
Médias et Industries culturelles	Audiovisuel	Directeur artistique dans les domaines du spectacle vivant/ audiovisuel/ édition
Médias et Industries culturelles	Audiovisuel	Directeur de production audiovisuelle (hors cinéma et télévision)
Médias et Industries culturelles	Audiovisuel	Documentaliste audiovisuel
Médias et Industries culturelles	Audiovisuel	Eclairagiste audiovisuel
Médias et Industries culturelles	Audiovisuel	Ingénieur du son et/ou Mixeur
Médias et Industries culturelles	Audiovisuel	Monteur / Studio de montage video / audiovisuel
Médias et Industries culturelles	Audiovisuel	Producteur de films publicitaires et clips vidéo
Médias et Industries culturelles	Audiovisuel	Régisseur son
Médias et Industries culturelles	Audiovisuel	Régisseur pour le compte de productions audiovisuelles et évènementielles hors oeuvres destinées au cinéma / fictions et émissions télé en direct
Médias et Industries culturelles	Audiovisuel	Sonorisateur
Médias et Industries culturelles	Audiovisuel	Technicien son et lumière
Médias et Industries culturelles	Audiovisuel	Traducteur audiovisuel
Médias et Industries culturelles	Audiovisuel	Assistant de post-production audiovisuelle (hors cinéma et télévision)
Médias et Industries culturelles	Audiovisuel	Chargé de post-production audiovisuelle (hors cinéma et télévision)
Médias et Industries culturelles	Audiovisuel	Concepteur d'effets spéciaux
Médias et Industries culturelles	Audiovisuel	Compositeur de musiques de films
Médias et Industries culturelles	Audiovisuel	Directeur de post-production audiovisuelle (hors cinéma et télévision)
Médias et Industries culturelles	Audiovisuel	Etalonneur
Médias et Industries culturelles	Audiovisuel	Monteur son
Médias et Industries culturelles	Audiovisuel	Projectionniste
Médias et Industries culturelles	Audiovisuel	Studio d'enregistrement
Médias et Industries culturelles	Audiovisuel	Superviseur d'effets spéciaux
Médias et Industries culturelles	Audiovisuel	Truquiste
Médias et Industries culturelles	Audiovisuel	Bruiteur
Médias et Industries culturelles	Spectacle vivant	Bookeur de spectacles vivants
Médias et Industries culturelles	Spectacle vivant	Chef opérateur audiovisuel / cinéma / de spectacles vivants
Médias et Industries culturelles	Spectacle vivant	Décorateur de film, accessoiriste
Médias et Industries culturelles	Spectacle vivant	Décorateur d'espace scénique
Médias et Industries culturelles	Spectacle vivant	Location de chapiteaux et/ou tribunes
Médias et Industries culturelles	Spectacle vivant	Location de matériel son et image à destination des professionnels du spectacle
Médias et Industries culturelles	Spectacle vivant	Maquilleur artistes et comédiens
Médias et Industries culturelles	Spectacle vivant	Metteur en scène / Réalisateur
Médias et Industries culturelles	Spectacle vivant	Organisateur de spectacles vivants
Médias et Industries culturelles	Spectacle vivant	Photographe / Vidéaste évènementiel
Médias et Industries culturelles	Spectacle vivant	Producteur de documentaires / magazines / reportages dans le domaine de la culture et des loisirs
Médias et Industries culturelles	Spectacle vivant	Producteur de spectacles vivants
Médias et Industries culturelles	Spectacle vivant	Scripte
Médias et Industries culturelles	Spectacle vivant	Scénariste
Médias et Industries culturelles	Spectacle vivant	Tourneur de spectacles vivants
Médias et Industries culturelles	Spectacle vivant	Diffuseur de spectacles vivants
Médias et Industries culturelles	Spectacle vivant	Sous-titrage / Doublage de films et/ou sur-titrage de spectacles vivants (hors films à caractère pornographique)
Médias et Industries culturelles	Culture et divertissement	Disc-Jockey
Médias et Industries culturelles	Culture et divertissement	Acteur
Médias et Industries culturelles	Culture et divertissement	Animateur du patrimoine
Médias et Industries culturelles	Culture et divertissement	Arts graphiques avec ou sans conception de logo/affiches/web
Médias et Industries culturelles	Culture et divertissement	Guide-conférencier / Guide touristique
Médias et Industries culturelles	Culture et divertissement	Conseiller culturel et/ou en divertissement
Médias et Industries culturelles	Culture et divertissement	Auteur
Médias et Industries culturelles	Culture et divertissement	Chargé d'études documentaires
Médias et Industries culturelles	Culture et divertissement	Chef d'orchestre
Médias et Industries culturelles	Culture et divertissement	Consultant en ingénierie touristique et culturelle
Médias et Industries culturelles	Culture et divertissement	Créateur d'image : papier / film / vidéo / numérique (hors caricatures et images provocatrices)
Médias et Industries culturelles	Culture et divertissement	Danseur
Médias et Industries culturelles	Culture et divertissement	Dessinateur / Illustrateur (hors caricatures et dessins provocateurs)
Médias et Industries culturelles	Culture et divertissement	Dessinateur publicitaire (hors conception de produit et design industriel)
Médias et Industries culturelles	Culture et divertissement	Design d'exposition / scenographie - hors fabrication et installation non sous-traitée 
Médias et Industries culturelles	Culture et divertissement	Ecrivain
Médias et Industries culturelles	Culture et divertissement	Graphiste web
Médias et Industries culturelles	Culture et divertissement	Mannequin / Modèle
Médias et Industries culturelles	Culture et divertissement	Lecteur-Correcteur
Médias et Industries culturelles	Culture et divertissement	Médiateur culturel
Médias et Industries culturelles	Culture et divertissement	Muséographe
Médias et Industries culturelles	Culture et divertissement	Musicien solo ou en groupe constitué, public ou privé subventionné ou non
Médias et Industries culturelles	Culture et divertissement	Professeur de danse
Médias et Industries culturelles	Culture et divertissement	Professeur de musique
Médias et Industries culturelles	Culture et divertissement	Professeur de théâtre
Médias et Industries culturelles	Culture et divertissement	Secrétaire de documentation
Médias et Industries culturelles	Culture et divertissement	Agence de mannequins
Médias et Industries culturelles	Médias et Journalisme	Agence de presse spécialisée
Médias et Industries culturelles	Médias et Journalisme	Attaché de presse
Médias et Industries culturelles	Médias et Journalisme	Journaliste (hors reporter d'image) / Pigiste
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de journaux d'information locaux (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de journaux d'information régionnaux (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de magazines féminins (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de magazines / livres professionnels (y.c. en ligne) - hors domaine médical, financier et scientifique
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de magazines / livres spécialisés loisirs type sports, culture, art, décoration, cuisine, voyages, etc...  (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de fictions littéraires (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de magazines / revues dans le domaine médical (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de magazines / revues dans le domaine financier (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Edition et publication de magazines / revues dans le domaine scientifique (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Radio / Web radio d'informations et actualités locales
Médias et Industries culturelles	Médias et Journalisme	Radio / Web radio d'informations et actualités régionales
Médias et Industries culturelles	Médias et Journalisme	Radio / Web radio musicale 
Médias et Industries culturelles	Médias et Journalisme	Radio / Web radio culturelle
Médias et Industries culturelles	Médias et Journalisme	Radio / Web radio de divertissement (jeux, humour, sport, etc...)
Médias et Industries culturelles	Médias et Journalisme	Rédaction d’articles de presse pour le compte de journaux d’information locale (y.c en ligne)
Médias et Industries culturelles	Médias et Journalisme	Rédaction d’articles de presse pour le compte de journaux d’information régionale (y.c en ligne)
Médias et Industries culturelles	Médias et Journalisme	Rédaction de contenus pour le compte de magazines féminins (y.c en ligne) – hors magazine et/ou site people 
Médias et Industries culturelles	Médias et Journalisme	Rédaction de contenus pour le compte de magazines / livres professionnels (y.c. en ligne) – hors domaine médical, financier et scientifique
Médias et Industries culturelles	Médias et Journalisme	Rédaction de contenus pour le compte de magazines / livres spécialisés loisirs type sports, culture, art, décoration, cuisine, voyages, etc... (y.c. en ligne) 
Médias et Industries culturelles	Médias et Journalisme	Rédaction de contenus pour le compte de magazines / revues dans le domaine médical (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Rédaction de contenus pour le compte de magazines / revues dans le domaine financier (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Rédaction de contenus pour le compte de magazines / revues dans le domaine scientifique (y.c. en ligne)
Médias et Industries culturelles	Médias et Journalisme	Télé / Web télé d'informations et actualités locales
Médias et Industries culturelles	Médias et Journalisme	Télé / Web télé d'informations et actualités régionales
Médias et Industries culturelles	Médias et Journalisme	Télé / Web télé musicale 
Médias et Industries culturelles	Médias et Journalisme	Télé / Web télé culturelle
Médias et Industries culturelles	Médias et Journalisme	Télé / Web télé de divertissement (jeux, humour, sport, etc...)
Médias et Industries culturelles	Médias et Journalisme	Activités annexes en matière de marketing et/ou de communciation
Médias et Industries culturelles	Médias et Journalisme	Blogueur
Bien-être et Santé	Médical / Paramédical	Cabinet médical et paramédical
Bien-être et Santé	Médical / Paramédical	Acuponcture (Aculifting, luxoponcture) limité aux seuls médecins ou kinésithérapeutes
Bien-être et Santé	Médical / Paramédical	Thérapeute par la parole
Bien-être et Santé	Médical / Paramédical	Hypnose Ericksonienne
Bien-être et Santé	Médical / Paramédical	Cardiologue
Bien-être et Santé	Médical / Paramédical	Chirurgien
Bien-être et Santé	Médical / Paramédical	Masseur kinésithérapeute
Bien-être et Santé	Médical / Paramédical	Médecin généraliste
Bien-être et Santé	Médical / Paramédical	Ophtalmologue
Bien-être et Santé	Médical / Paramédical	Pédiatre
Bien-être et Santé	Médical / Paramédical	Psychiatre
Bien-être et Santé	Médical / Paramédical	Radiologue
Bien-être et Santé	Médical / Paramédical	Rhumatologue
Bien-être et Santé	Médical / Paramédical	Vétérinaire
Bien-être et Santé	Médical / Paramédical	Dentiste
Bien-être et Santé	Médical / Paramédical	Infirmier
Bien-être et Santé	Médical / Paramédical	Nutritioniste
Bien-être et Santé	Médical / Paramédical	Orthophoniste
Bien-être et Santé	Médical / Paramédical	Ostéopathe
Bien-être et Santé	Médical / Paramédical	Pédicure
Bien-être et Santé	Médical / Paramédical	Pharmacien
Bien-être et Santé	Médical / Paramédical	Podologue
Bien-être et Santé	Médical / Paramédical	Pédicure-podologue
Bien-être et Santé	Médical / Paramédical	Opticiens
Bien-être et Santé	Médical / Paramédical	Radiologue
Bien-être et Santé	Médical / Paramédical	Répartiteurs
Bien-être et Santé	Médical / Paramédical	Autre - Médical / Paramédical
Bien-être et Santé	Bien être	Massage bien être / Modelage
Bien-être et Santé	Bien être	Conseil en image / relooking
Bien-être et Santé	Bien être	Réflexologie
Bien-être et Santé	Bien être	Art thérapie
Bien-être et Santé	Bien être	Sophrologie
Bien-être et Santé	Bien être	Relaxologue
Bien-être et Santé	Bien être	Yoga
Bien-être et Santé	Bien être	Salle de sport hors sauna, spa, et bar
Bien-être et Santé	Bien être	Hypnothérapie
Bien-être et Santé	Bien être	Autre - Bien être
Bien-être et Santé	Bien être	Access Bars
Bien-être et Santé	Bien être	Access Consciousness
Bien-être et Santé	Bien être	Access Energy Transformation
Bien-être et Santé	Bien être	Access Facelift
Bien-être et Santé	Bien être	Access Processus Corporels
Bien-être et Santé	Bien être	Accompagnement Biographique
Bien-être et Santé	Bien être	Accompagnement psycho-émotionnel
Bien-être et Santé	Bien être	Accompagnement sensoriel
Bien-être et Santé	Bien être	Accupressure
Bien-être et Santé	Bien être	Actualisation par les Mouvements Oculaires : EMA-AMO
Bien-être et Santé	Bien être	Aculifting, pratiqué uniquement par un docteur en médecine ou un kinésithérapeuthe
Bien-être et Santé	Bien être	Acupression
Bien-être et Santé	Bien être	Acupuncture,  pratiqué uniquement par un docteur en médecine ou un kinésithérapeuthe
Bien-être et Santé	Bien être	Aide et/ou soutien psychologique (mémoire cellulaire, interprétation des rêves)
Bien-être et Santé	Bien être	Algothérapie
Bien-être et Santé	Bien être	Analyse de la posture (posturologie)
Bien-être et Santé	Bien être	Analyse du corps
Bien-être et Santé	Bien être	Analyse Psycho-Organique
Bien-être et Santé	Bien être	Analyse transactionnelle
Bien-être et Santé	Bien être	Angel Therapy
Bien-être et Santé	Bien être	Apithérapie (à l’exclusion de toute utilisation de venin)
Bien-être et Santé	Bien être	Approche Centrée sur la Personne
Bien-être et Santé	Bien être	Archives Akashiques
Bien-être et Santé	Bien être	Argilothérapie
Bien-être et Santé	Bien être	Ariti Gymnastique
Bien-être et Santé	Bien être	Aromachologie
Bien-être et Santé	Bien être	Aromathérapie
